spec,skip,assumed_debit,n,n_skipped,wr,pf,sharpe,total,n_target,n_stop,n_hard,pass
cost_overlay debit=0.0,none,0.0,255,0,51.4,inf,18.58,6313.2,122,122,11,True
cost_overlay debit=3.0,none,3.0,255,0,51.4,15.91,16.26,5548.2,122,122,11,True
cost_overlay debit=5.0,none,5.0,255,0,51.0,9.11,14.71,5038.2,122,122,11,True
cost_overlay debit=7.5,none,7.5,255,0,50.6,5.71,12.77,4400.7,122,122,11,True
cost_overlay debit=10.0,none,10.0,255,0,50.6,4.01,10.83,3763.2,122,122,11,True
DTE filter none,none,7.5,255,0,50.6,5.71,12.77,4400.7,122,122,11,True
DTE filter skip DTE==0 expiry,skip DTE==0 expiry,7.5,189,66,48.1,5.17,11.71,3017.4,86,95,8,True
DTE filter skip DTE<=1,skip DTE<=1,7.5,136,119,45.6,4.61,10.77,1964.9,57,71,8,True
DTE filter skip DTE<=2,skip DTE<=2,7.5,104,151,46.2,4.64,10.88,1513.5,44,54,6,True
skip DTE<=1 + debit=3.0,skip DTE<=1,3.0,136,119,47.1,12.93,14.32,2576.9,57,71,8,True
skip DTE<=1 + debit=7.5,skip DTE<=1,7.5,136,119,45.6,4.61,10.77,1964.9,57,71,8,True
