day,dir,side,entry,n0,debit,dte,pnl,reason
2021-07-13,LONG,CE,15769.7,39.75926495110707,True,2,9.649808943961943,HARD
2021-07-22,LONG,CE,15785.3999,47.6865883952712,True,0,28.61331160472878,HARD
2021-08-20,SHORT,PE,16469.5,25.61704848366753,True,6,1.4414760360446053,HARD
2021-10-14,LONG,CE,18283.1992,46.26253676686008,True,0,47.637863233138546,HARD
2021-11-26,SHORT,PE,17238.6504,24.468114643775152,True,6,15.285636501184854,HARD
2021-12-01,LONG,CE,17160.6992,39.35143702630694,True,1,6.023643300435651,HARD
2021-12-07,LONG,CE,17089.9492,41.53600164214049,True,2,14.083485366881632,HARD
2021-12-08,LONG,CE,17394.0,44.789080894047856,True,1,19.502540710073845,HARD
2021-12-13,LONG,CE,17626.5508,37.98358807343311,True,3,-26.646049537533543,HARD
2021-12-20,SHORT,PE,16658.3496,24.68936814939434,True,3,3.4920386553819753,HARD
2021-12-21,LONG,CE,16829.4492,40.420415929043884,True,2,-7.469108675399184,HARD
2022-02-01,LONG,CE,17561.4004,37.79510966867247,True,2,4.808624540637538,HARD
2022-02-11,SHORT,PE,17357.9004,26.6453437850887,True,6,-0.580607479075752,HARD
2022-02-24,SHORT,PE,16546.0,5.780525819385023,True,0,120.61987418061543,HARD
2022-02-25,LONG,CE,16626.75,35.66618993002794,True,6,3.90948276650397,HARD
2022-03-02,SHORT,PE,16562.4004,18.729963545546127,True,1,-13.89648073105382,HARD
2022-03-04,SHORT,PE,16260.0996,26.269741098204122,True,6,2.575290884018159,HARD
2022-03-07,SHORT,PE,15785.4004,21.20743428302808,True,3,-12.426402693649607,HARD
2022-03-10,LONG,CE,16705.0508,37.95399632940263,True,0,-37.95399632940263,HARD
2022-03-17,LONG,CE,17257.3008,38.845768256262545,True,0,4.103431743736564,HARD
2022-03-30,LONG,CE,17453.4004,38.029972988925465,True,1,11.553253320109206,HARD
2022-04-04,LONG,CE,18025.3496,37.64506949664292,True,3,5.377469779286457,HARD
2022-04-18,SHORT,PE,17188.0996,22.003302325413642,True,3,-1.5758472510191268,HARD
2022-04-20,LONG,CE,17114.4492,40.01378466936444,True,1,9.370423390970245,HARD
2022-04-22,SHORT,PE,17216.75,25.998090573054924,True,6,3.4918700147154595,HARD
2022-04-25,SHORT,PE,16979.4492,22.71806373430877,True,3,2.108430288112686,HARD
2022-04-26,LONG,CE,17174.0,39.53196754025157,True,2,8.071365618342952,HARD
2022-05-05,LONG,CE,16868.0,42.00229633392206,True,0,-42.00229633392206,HARD
2022-05-06,SHORT,PE,16402.1992,26.896855905881694,True,6,-2.0203474544066466,HARD
