day,dte,direction,entry,n0,S_exp,n_exp,pnl_day,pnl_exp
2021-07-13,2,LONG,15769.7,39.75926495110707,15921.2999,128.70010000000002,9.649808943961943,88.94083504889295
2021-07-22,0,LONG,15785.3999,47.6865883952712,15826.2999,76.29989999999998,28.61331160472878,28.61331160472878
2021-08-20,6,SHORT,16469.5,25.61704848366753,16649.4,0.0,1.4414760360446053,-25.61704848366753
2021-10-14,0,LONG,18283.1992,46.26253676686008,18343.9004,93.90039999999863,47.637863233138546,47.637863233138546
2021-11-26,6,SHORT,17238.6504,24.468114643775152,17411.0,0.0,15.285636501184854,-24.468114643775152
2021-12-01,1,LONG,17160.6992,39.35143702630694,17411.0,50.0,6.023643300435651,10.64856297369306
2021-12-07,2,LONG,17089.9492,41.53600164214049,17519.3496,50.0,14.083485366881632,8.46399835785951
2021-12-08,1,LONG,17394.0,44.789080894047856,17519.3496,130.65039999999863,19.502540710073845,85.86131910595077
2021-12-13,3,LONG,17626.5508,37.98358807343311,17257.8496,0.0,-26.646049537533543,-37.98358807343311
2021-12-20,3,SHORT,16658.3496,24.68936814939434,17060.6504,0.0,3.4920386553819753,-24.68936814939434
2021-12-21,2,LONG,16829.4492,40.420415929043884,17060.6504,50.0,-7.469108675399184,9.579584070956116
2022-01-10,3,LONG,17949.9492,39.944904422432955,18263.1992,50.0,7.075229485842101,10.055095577567045
2022-02-01,2,LONG,17561.4004,37.79510966867247,17547.75,0.0,4.808624540637538,-37.79510966867247
2022-02-11,6,SHORT,17357.9004,26.6453437850887,17282.3008,0.0,-0.580607479075752,-26.6453437850887
2022-02-24,0,SHORT,16546.0,5.780525819385023,16226.4004,126.40040000000045,120.61987418061543,120.61987418061543
2022-02-25,6,LONG,16626.75,35.66618993002794,16656.8008,56.80080000000089,3.90948276650397,21.13461006997295
2022-03-02,1,SHORT,16562.4004,18.729963545546127,16656.8008,0.0,-13.89648073105382,-18.729963545546127
2022-03-04,6,SHORT,16260.0996,26.269741098204122,16601.9492,0.0,2.575290884018159,-26.269741098204122
2022-03-07,3,SHORT,15785.4004,21.20743428302808,16601.9492,0.0,-12.426402693649607,-21.20743428302808
