sigma,slice,n,wr,pf,sharpe,total,n_credit,pct_credit
intrinsic-7.5,all,255,50.6,5.71,12.77,4400.7,0,0.0
intrinsic-7.5,TARGET only,122,100.0,inf,125.54,5185.0,0,0.0
10%,all,255,79.2,3.98,7.48,214.1,199,78.0
10%,TARGET only,122,100.0,inf,18.69,101.7,91,74.6
10%,DTE<=1,119,89.1,12.03,11.55,178.2,63,52.9
10%,DTE>1,136,70.6,1.64,3.27,35.9,136,100.0
12%,all,255,78.4,4.56,7.39,223.8,221,86.7
12%,TARGET only,122,100.0,inf,17.83,102.4,101,82.8
12%,DTE<=1,119,88.2,16.62,11.23,192.5,85,71.4
12%,DTE>1,136,69.9,1.62,3.16,31.3,136,100.0
15%,all,255,76.5,4.94,6.85,223.0,246,96.5
15%,TARGET only,122,100.0,inf,16.86,97.0,115,94.3
15%,DTE<=1,119,84.0,15.94,10.11,196.9,110,92.4
15%,DTE>1,136,69.9,1.6,3.09,26.1,136,100.0
20%,all,255,75.7,5.42,5.91,209.0,255,100.0
20%,TARGET only,122,100.0,inf,15.93,83.7,122,100.0
20%,DTE<=1,119,82.4,15.53,8.46,188.9,119,100.0
20%,DTE>1,136,69.9,1.59,3.02,20.2,136,100.0
