day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2021-07-01,SHORT,TARGET,0,15731.5,15681.5,42.5,7.51,9.54,2.03,3.88,6.02,2.14,-0.55,1.55,2.11,-5.8,-3.94,1.87
2021-07-05,LONG,HARD_EXIT,3,15815.3999,15839.3999,16.5,-6.56,-2.45,4.11,-9.31,-5.45,3.86,-12.2,-8.8,3.4,-15.2,-12.46,2.74
2021-07-08,SHORT,TARGET,0,15847.7,15797.7,42.5,7.66,9.16,1.5,4.68,6.48,1.8,0.66,2.61,1.95,-4.48,-2.62,1.87
2021-08-11,SHORT,TARGET,1,16238.8999,16188.8999,42.5,-0.16,0.76,0.92,-3.52,-2.65,0.87,-7.29,-6.52,0.78,-11.43,-10.79,0.63
2021-08-23,SHORT,TARGET,3,16501.0,16451.0,42.5,-5.9,-5.5,0.4,-8.73,-8.37,0.36,-11.77,-11.47,0.31,-15.01,-14.77,0.24
2021-08-26,LONG,STOP,0,16664.7,16639.7,-7.5,6.47,7.88,1.4,2.95,5.7,2.75,-1.33,2.28,3.61,-6.37,-2.6,3.77
2021-08-30,LONG,TARGET,3,16848.9,16898.9,42.5,-6.2,-5.91,0.29,-8.94,-8.68,0.26,-11.85,-11.63,0.22,-14.9,-14.73,0.17
2021-09-15,LONG,TARGET,1,17438.5,17488.5,42.5,0.11,0.82,0.72,-2.98,-2.27,0.71,-6.58,-5.92,0.66,-10.64,-10.09,0.55
2021-09-23,LONG,TARGET,0,17702.5999,17752.5999,42.5,5.79,7.41,1.62,2.61,4.4,1.8,-1.43,0.39,1.82,-6.32,-4.67,1.65
2021-10-13,LONG,TARGET,1,18117.6992,18167.6992,42.5,-2.82,-2.04,0.78,-5.99,-5.29,0.71,-9.41,-8.8,0.61,-13.04,-12.56,0.48
2021-11-11,SHORT,TARGET,0,17922.9492,17872.9492,42.5,5.76,6.72,0.96,3.51,4.91,1.39,0.1,1.79,1.69,-4.63,-2.88,1.74
2021-12-13,LONG,STOP,3,17632.3496,17607.3496,-7.5,-5.7,-7.24,-1.53,-8.43,-9.88,-1.45,-11.38,-12.67,-1.29,-14.51,-15.55,-1.05
2021-12-13,SHORT,TARGET,3,17616.5,17566.5,42.5,-5.69,-5.3,0.39,-8.49,-8.13,0.36,-11.53,-11.22,0.31,-14.79,-14.54,0.25
2021-12-30,LONG,STOP,0,17230.3008,17205.3008,-7.5,6.13,7.9,1.77,3.88,4.84,0.96,0.47,0.77,0.3,-4.24,-4.36,-0.13
2021-12-31,LONG,TARGET,6,17347.0996,17397.0996,42.5,-10.64,-10.52,0.12,-12.83,-12.73,0.1,-15.08,-15.0,0.08,-17.38,-17.32,0.06
2022-01-10,LONG,STOP,3,17946.6504,17921.6504,-7.5,-7.02,-8.72,-1.7,-9.66,-11.22,-1.56,-12.45,-13.8,-1.35,-15.37,-16.44,-1.07
2022-01-10,SHORT,STOP,3,17918.9004,17943.9004,-7.5,-5.24,-6.83,-1.58,-8.06,-9.58,-1.52,-11.15,-12.51,-1.35,-14.49,-15.59,-1.1
2022-01-14,LONG,STOP,6,18202.0508,18177.0508,-7.5,-11.58,-9.8,1.78,-13.64,-12.07,1.58,-15.76,-14.44,1.33,-17.91,-16.87,1.03
2022-01-14,SHORT,STOP,6,18147.0996,18172.0996,-7.5,-11.51,-9.68,1.83,-13.68,-12.05,1.63,-15.93,-14.56,1.37,-18.27,-17.19,1.07
2022-01-31,LONG,STOP,3,17322.25,17297.25,-7.5,-8.58,-6.16,2.42,-11.1,-8.89,2.21,-13.7,-11.81,1.89,-16.36,-14.87,1.5
2022-02-17,SHORT,TARGET,0,17321.3008,17271.3008,42.5,6.14,7.06,0.92,3.95,5.32,1.37,0.56,2.25,1.69,-4.18,-2.42,1.76
2022-04-01,LONG,TARGET,6,17527.4492,17577.4492,42.5,-9.49,-9.37,0.12,-11.8,-11.69,0.11,-14.21,-14.12,0.09,-16.7,-16.63,0.07
2022-04-18,LONG,STOP,3,17206.9492,17181.9492,-7.5,-7.17,-4.93,2.24,-9.83,-7.72,2.11,-12.62,-10.77,1.85,-15.51,-14.02,1.49
2022-04-18,SHORT,TARGET,3,17188.0996,17138.0996,42.5,-7.6,-7.22,0.38,-10.29,-9.95,0.34,-13.11,-12.83,0.28,-16.07,-15.85,0.22
