n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,side,passed
33,54.5,1.93,90.8,2.75,3.99,16,56.2,5.8,17,52.9,2.21,g58_18_1000,mtm_16_8,PE,True
33,54.5,1.93,90.8,2.75,3.99,16,56.2,5.8,17,52.9,2.21,g60_18_1000,mtm_16_8,PE,True
32,53.1,1.91,89.1,2.78,3.98,16,56.2,5.8,16,50.0,2.13,g62_18_1000,mtm_16_8,PE,True
32,53.1,1.91,89.1,2.78,3.98,16,56.2,5.8,16,50.0,2.13,g65_18_1000,mtm_16_8,PE,True
37,51.4,1.79,88.5,2.39,3.56,18,50.0,4.88,19,52.6,2.27,g55_18_1000,mtm_16_8,PE,True
33,57.6,1.68,65.5,1.98,3.49,16,62.5,6.26,17,52.9,1.43,g58_18_1000,mtm_12_8,PE,True
33,57.6,1.68,65.5,1.98,3.49,16,62.5,6.26,17,52.9,1.43,g60_18_1000,mtm_12_8,PE,True
32,56.2,1.66,63.8,1.99,3.45,16,62.5,6.26,16,50.0,1.31,g62_18_1000,mtm_12_8,PE,True
32,56.2,1.66,63.8,1.99,3.45,16,62.5,6.26,16,50.0,1.31,g65_18_1000,mtm_12_8,PE,True
33,60.6,1.73,63.9,1.94,3.23,16,68.8,5.88,17,52.9,2.37,g58_18_1000,trail_8_5,PE,True
33,60.6,1.73,63.9,1.94,3.23,16,68.8,5.88,17,52.9,2.37,g60_18_1000,trail_8_5,PE,True
32,59.4,1.71,62.2,1.94,3.19,16,68.8,5.88,16,50.0,2.31,g62_18_1000,trail_8_5,PE,True
32,59.4,1.71,62.2,1.94,3.19,16,68.8,5.88,16,50.0,2.31,g65_18_1000,trail_8_5,PE,True
33,54.5,1.67,80.9,2.45,3.15,16,56.2,4.93,17,52.9,1.58,g58_18_1000,mtm_20_10,PE,True
33,54.5,1.67,80.9,2.45,3.15,16,56.2,4.93,17,52.9,1.58,g60_18_1000,mtm_20_10,PE,True
32,53.1,1.65,79.2,2.48,3.13,16,56.2,4.93,16,50.0,1.5,g62_18_1000,mtm_20_10,PE,True
32,53.1,1.65,79.2,2.48,3.13,16,56.2,4.93,16,50.0,1.5,g65_18_1000,mtm_20_10,PE,True
39,61.5,1.59,59.6,1.53,3.1,19,63.2,3.18,20,60.0,2.96,g62_18_1015,trail_6_3,PE,True
39,61.5,1.59,59.6,1.53,3.1,19,63.2,3.18,20,60.0,2.96,g65_18_1015,trail_6_3,PE,True
40,62.5,1.59,60.2,1.51,3.09,19,63.2,3.18,21,61.9,2.94,g60_18_1015,trail_6_3,PE,True
37,54.1,1.57,63.2,1.71,3.05,18,55.6,5.07,19,52.6,1.57,g55_18_1000,mtm_12_8,PE,True
40,52.5,1.54,65.1,1.63,2.9,21,52.4,4.41,19,52.6,1.57,g50_18_1000,mtm_12_8,PE,True
33,60.6,1.58,51.3,1.56,2.9,16,68.8,6.21,17,52.9,1.47,g58_18_1000,trail_8_4,PE,True
33,60.6,1.58,51.3,1.56,2.9,16,68.8,6.21,17,52.9,1.47,g60_18_1000,trail_8_4,PE,True
39,53.8,2.0,189.6,4.86,2.89,20,55.0,3.15,19,52.6,2.51,g62_30_1000,hold,PE,True
39,53.8,2.0,189.6,4.86,2.89,20,55.0,3.15,19,52.6,2.51,g62_35_1000,hold,PE,True
39,53.8,2.0,189.6,4.86,2.89,20,55.0,3.15,19,52.6,2.51,g65_30_1000,hold,PE,True
39,53.8,2.0,189.6,4.86,2.89,20,55.0,3.15,19,52.6,2.51,g65_35_1000,hold,PE,True
40,55.0,2.01,191.3,4.78,2.88,20,55.0,3.15,20,55.0,2.5,g58_30_1000,hold,PE,True
40,55.0,2.01,191.3,4.78,2.88,20,55.0,3.15,20,55.0,2.5,g58_35_1000,hold,PE,True
40,55.0,2.01,191.3,4.78,2.88,20,55.0,3.15,20,55.0,2.5,g60_30_1000,hold,PE,True
40,55.0,2.01,191.3,4.78,2.88,20,55.0,3.15,20,55.0,2.5,g60_35_1000,hold,PE,True
43,51.2,1.58,85.5,1.99,2.85,22,54.5,4.7,21,47.6,0.93,g58_x_1000,mtm_16_8,PE,True
43,51.2,1.58,85.5,1.99,2.85,22,54.5,4.7,21,47.6,0.93,g60_x_1000,mtm_16_8,PE,True
32,59.4,1.57,49.7,1.55,2.85,16,68.8,6.21,16,50.0,1.37,g62_18_1000,trail_8_4,PE,True
