day,entry_time,direction,signal,dte,entry,long_k,body,far,n0,pnl,reason,put
2021-07-05,2021-07-05 10:00:00+05:30,SHORT,LowerHigh,3,15810.3999,15700.0,15550.0,15450.0,23.95,-1.93,SPOT_STP,True
2021-07-05,2021-07-05 10:15:00+05:30,LONG,HigherLow,3,15825.2,15800.0,15950.0,16050.0,38.99,-1.68,SPOT_STP,False
2021-07-08,2021-07-08 09:55:00+05:30,SHORT,LowerHigh,0,15847.7,15700.0,15550.0,15450.0,5.0,-0.53,SPOT_TGT,True
2021-07-08,2021-07-08 10:05:00+05:30,LONG,HigherLow,0,15850.8999,15850.0,16000.0,16100.0,36.07,-6.39,SPOT_STP,False
2021-08-23,2021-08-23 09:55:00+05:30,SHORT,LowerHigh,3,16501.0,16400.0,16250.0,16150.0,25.4,-1.45,SPOT_STP,True
2021-08-26,2021-08-26 09:55:00+05:30,LONG,HigherLow,0,16664.7,16650.0,16800.0,16900.0,40.97,-10.23,SPOT_STP,False
2021-08-26,2021-08-26 11:05:00+05:30,SHORT,LowerHigh,0,16660.7999,16550.0,16400.0,16300.0,7.73,-0.93,SPOT_TGT,True
2021-08-30,2021-08-30 09:55:00+05:30,LONG,HigherLow,3,16848.9,16800.0,16950.0,17050.0,40.66,2.97,SPOT_TGT,False
2021-09-15,2021-09-15 09:55:00+05:30,LONG,HigherLow,1,17438.5,17400.0,17550.0,17650.0,43.82,6.78,SPOT_TGT,False
2021-09-23,2021-09-23 09:55:00+05:30,LONG,HigherLow,0,17702.5999,17700.0,17850.0,17950.0,37.68,3.53,SPOT_TGT,False
2021-10-13,2021-10-13 09:55:00+05:30,LONG,HigherLow,1,18117.6992,18100.0,18250.0,18350.0,40.13,6.72,SPOT_TGT,False
2021-11-11,2021-11-11 10:00:00+05:30,SHORT,LowerHigh,0,17889.6504,17750.0,17600.0,17500.0,8.0,6.83,SPOT_TGT,True
2021-12-13,2021-12-13 09:55:00+05:30,LONG,HigherLow,3,17632.3496,17600.0,17750.0,17850.0,38.51,-1.46,SPOT_STP,False
2021-12-13,2021-12-13 10:05:00+05:30,SHORT,LowerHigh,3,17627.4492,17500.0,17350.0,17250.0,23.29,4.52,SPOT_TGT,True
2021-12-30,2021-12-30 09:55:00+05:30,LONG,HigherLow,0,17230.3008,17200.0,17350.0,17450.0,45.7,9.52,SPOT_TGT,False
2021-12-30,2021-12-30 11:35:00+05:30,SHORT,LowerHigh,0,17211.5508,17100.0,16950.0,16850.0,6.99,-2.52,SPOT_STP,True
2022-01-10,2022-01-10 09:55:00+05:30,LONG,HigherLow,3,17946.6504,17900.0,18050.0,18150.0,39.63,1.45,SPOT_TGT,False
2022-01-10,2022-01-10 10:40:00+05:30,SHORT,LowerHigh,3,17940.75,17800.0,17650.0,17550.0,22.07,-0.81,SPOT_STP,True
2022-04-01,2022-04-01 09:55:00+05:30,LONG,HigherLow,6,17527.4492,17500.0,17650.0,17750.0,35.22,1.75,SPOT_TGT,False
2022-04-18,2022-04-18 09:55:00+05:30,LONG,HigherLow,3,17206.9492,17200.0,17350.0,17450.0,36.25,-1.9,SPOT_STP,False
2022-04-18,2022-04-18 10:10:00+05:30,SHORT,LowerHigh,3,17153.25,17050.0,16900.0,16800.0,25.43,-1.86,SPOT_STP,True
2022-05-25,2022-05-25 09:55:00+05:30,SHORT,LowerHigh,1,16134.8496,16000.0,15850.0,15750.0,15.11,-1.29,SPOT_STP,True
2022-05-25,2022-05-25 11:10:00+05:30,LONG,HigherLow,1,16164.7002,16150.0,16300.0,16400.0,40.66,-3.43,SPOT_STP,False
2022-06-16,2022-06-16 09:55:00+05:30,SHORT,LowerHigh,0,15768.7002,15650.0,15500.0,15400.0,8.1,4.18,SPOT_TGT,True
2022-06-21,2022-06-21 09:55:00+05:30,LONG,HigherLow,2,15541.7002,15500.0,15650.0,15750.0,42.96,5.31,SPOT_TGT,False
2022-06-29,2022-06-29 09:55:00+05:30,LONG,HigherLow,1,15758.5498,15750.0,15900.0,16000.0,39.3,8.37,SPOT_TGT,False
2022-07-05,2022-07-05 09:55:00+05:30,LONG,HigherLow,2,15967.5,15950.0,16100.0,16200.0,39.33,4.14,SPOT_TGT,False
2022-08-08,2022-08-08 09:55:00+05:30,SHORT,LowerHigh,3,17425.75,17300.0,17150.0,17050.0,23.37,-1.52,SPOT_STP,True
2022-08-08,2022-08-08 10:05:00+05:30,LONG,HigherLow,3,17424.0508,17400.0,17550.0,17650.0,37.88,2.74,SPOT_TGT,False
2022-09-12,2022-09-12 10:00:00+05:30,LONG,HigherLow,3,17954.75,17950.0,18100.0,18200.0,35.74,-1.89,SPOT_STP,False
2022-09-12,2022-09-12 10:30:00+05:30,SHORT,LowerHigh,3,17937.9492,17800.0,17650.0,17550.0,22.38,-1.51,SPOT_STP,True
2022-10-20,2022-10-20 09:55:00+05:30,LONG,HigherLow,0,17471.9492,17450.0,17600.0,17700.0,43.21,8.5,SPOT_TGT,False
2022-11-04,2022-11-04 09:55:00+05:30,SHORT,LowerHigh,6,18034.9004,17900.0,17750.0,17650.0,24.95,-1.58,SPOT_STP,True
2022-11-04,2022-11-04 11:20:00+05:30,LONG,HigherLow,6,18048.75,18000.0,18150.0,18250.0,36.48,1.38,HARD,False
2022-11-09,2022-11-09 10:00:00+05:30,SHORT,LowerHigh,1,18223.6992,18100.0,17950.0,17850.0,18.98,3.42,SPOT_TGT,True
2022-11-15,2022-11-15 10:15:00+05:30,SHORT,LowerHigh,2,18308.9004,18200.0,18050.0,17950.0,23.97,-2.78,SPOT_STP,True
2022-11-24,2022-11-24 10:00:00+05:30,LONG,HigherLow,0,18346.9492,18300.0,18450.0,18550.0,49.95,12.59,SPOT_TGT,False
2022-11-29,2022-11-29 09:55:00+05:30,LONG,HigherLow,2,18625.5508,18600.0,18750.0,18850.0,38.87,3.33,SPOT_TGT,False
2022-12-02,2022-12-02 10:10:00+05:30,SHORT,LowerHigh,6,18703.75,18600.0,18450.0,18350.0,27.08,2.65,SPOT_TGT,True
2022-12-07,2022-12-07 10:05:00+05:30,LONG,HigherLow,1,18654.0508,18650.0,18800.0,18900.0,37.87,-4.2,SPOT_STP,False
2022-12-07,2022-12-07 10:30:00+05:30,SHORT,LowerHigh,1,18651.5,18550.0,18400.0,18300.0,22.04,5.36,SPOT_TGT,True
2022-12-09,2022-12-09 10:15:00+05:30,SHORT,LowerHigh,6,18602.4492,18500.0,18350.0,18250.0,27.15,2.48,SPOT_TGT,True
2022-12-21,2022-12-21 09:55:00+05:30,SHORT,LowerHigh,1,18378.9492,18250.0,18100.0,18000.0,18.51,-2.63,SPOT_STP,True
2022-12-29,2022-12-29 09:55:00+05:30,LONG,HigherLow,0,18021.0508,18000.0,18150.0,18250.0,42.92,-6.73,SPOT_STP,False
2022-12-29,2022-12-29 10:05:00+05:30,SHORT,LowerHigh,0,17997.3008,17850.0,17700.0,17600.0,7.11,-3.38,SPOT_STP,True
2023-01-04,2023-01-04 09:55:00+05:30,SHORT,LowerHigh,1,18128.3008,18000.0,17850.0,17750.0,18.34,-3.62,SPOT_STP,True
2023-01-04,2023-01-04 10:30:00+05:30,LONG,HigherLow,1,18163.3496,18150.0,18300.0,18400.0,39.6,-3.52,SPOT_STP,False
2023-01-06,2023-01-06 09:55:00+05:30,SHORT,LowerHigh,6,17970.9004,17850.0,17700.0,17600.0,25.87,2.16,SPOT_TGT,True
2023-01-12,2023-01-12 10:05:00+05:30,SHORT,LowerHigh,0,17846.1504,17700.0,17550.0,17450.0,7.06,2.45,SPOT_TGT,True
2023-01-20,2023-01-20 09:55:00+05:30,LONG,HigherLow,7,18086.75,18050.0,18200.0,18300.0,34.86,1.76,SPOT_TGT,False
2023-01-20,2023-01-20 11:00:00+05:30,SHORT,LowerHigh,7,18115.5508,18000.0,17850.0,17750.0,26.41,0.98,SPOT_TGT,True
2023-01-23,2023-01-23 09:55:00+05:30,LONG,HigherLow,4,18154.9004,18150.0,18300.0,18400.0,34.78,-1.19,SPOT_STP,False
2023-01-23,2023-01-23 10:40:00+05:30,SHORT,LowerHigh,4,18137.1504,18000.0,17850.0,17750.0,23.64,2.56,SPOT_TGT,True
