day,entry_time,direction,signal,dte,entry,long_k,body,far,n0,pnl,reason,put
2021-07-05,2021-07-05 10:15:00+05:30,LONG,HigherLow,3,15825.2,15800.0,15950.0,16050.0,38.99,3.05,HARD,False
2021-08-23,2021-08-23 09:55:00+05:30,SHORT,LowerHigh,3,16501.0,16400.0,16250.0,16150.0,25.4,4.52,TRAIL,True
2021-08-26,2021-08-26 09:55:00+05:30,LONG,HigherLow,0,16664.7,16650.0,16800.0,16900.0,40.97,-10.23,MTM_STP,False
2021-08-30,2021-08-30 09:55:00+05:30,LONG,HigherLow,3,16848.9,16800.0,16950.0,17050.0,40.66,11.25,HARD,False
2021-09-15,2021-09-15 09:55:00+05:30,LONG,HigherLow,1,17438.5,17400.0,17550.0,17650.0,43.82,22.11,HARD,False
2021-09-23,2021-09-23 09:55:00+05:30,LONG,HigherLow,0,17702.5999,17700.0,17850.0,17950.0,37.68,6.46,TRAIL,False
2021-10-13,2021-10-13 09:55:00+05:30,LONG,HigherLow,1,18117.6992,18100.0,18250.0,18350.0,40.13,11.12,TRAIL,False
2021-12-30,2021-12-30 09:55:00+05:30,LONG,HigherLow,0,17230.3008,17200.0,17350.0,17450.0,45.7,3.67,TRAIL,False
2022-01-10,2022-01-10 09:55:00+05:30,LONG,HigherLow,3,17946.6504,17900.0,18050.0,18150.0,39.63,7.39,HARD,False
2022-04-01,2022-04-01 09:55:00+05:30,LONG,HigherLow,6,17527.4492,17500.0,17650.0,17750.0,35.22,10.57,HARD,False
2022-05-25,2022-05-25 09:55:00+05:30,SHORT,LowerHigh,1,16134.8496,16000.0,15850.0,15750.0,15.11,7.0,TRAIL,True
2022-06-21,2022-06-21 09:55:00+05:30,LONG,HigherLow,2,15541.7002,15500.0,15650.0,15750.0,42.96,15.45,TRAIL,False
2022-06-29,2022-06-29 09:55:00+05:30,LONG,HigherLow,1,15758.5498,15750.0,15900.0,16000.0,39.3,7.85,TRAIL,False
2022-07-05,2022-07-05 09:55:00+05:30,LONG,HigherLow,2,15967.5,15950.0,16100.0,16200.0,39.33,4.47,TRAIL,False
2022-08-08,2022-08-08 10:05:00+05:30,LONG,HigherLow,3,17424.0508,17400.0,17550.0,17650.0,37.88,10.87,HARD,False
2022-09-12,2022-09-12 10:00:00+05:30,LONG,HigherLow,3,17954.75,17950.0,18100.0,18200.0,35.74,-1.92,HARD,False
2022-10-20,2022-10-20 09:55:00+05:30,LONG,HigherLow,0,17471.9492,17450.0,17600.0,17700.0,43.21,6.69,TRAIL,False
2022-11-04,2022-11-04 09:55:00+05:30,SHORT,LowerHigh,6,18034.9004,17900.0,17750.0,17650.0,24.95,-6.27,HARD,True
2022-11-15,2022-11-15 10:15:00+05:30,SHORT,LowerHigh,2,18308.9004,18200.0,18050.0,17950.0,23.97,-10.79,MTM_STP,True
2022-11-24,2022-11-24 10:00:00+05:30,LONG,HigherLow,0,18346.9492,18300.0,18450.0,18550.0,49.95,19.49,TRAIL,False
2022-12-02,2022-12-02 10:10:00+05:30,SHORT,LowerHigh,6,18703.75,18600.0,18450.0,18350.0,27.08,0.34,HARD,True
2022-12-07,2022-12-07 10:05:00+05:30,LONG,HigherLow,1,18654.0508,18650.0,18800.0,18900.0,37.87,-11.78,MTM_STP,False
2022-12-09,2022-12-09 10:15:00+05:30,SHORT,LowerHigh,6,18602.4492,18500.0,18350.0,18250.0,27.15,7.14,TRAIL,True
2022-12-21,2022-12-21 09:55:00+05:30,SHORT,LowerHigh,1,18378.9492,18250.0,18100.0,18000.0,18.51,10.65,TRAIL,True
2023-01-20,2023-01-20 10:05:00+05:30,LONG,HigherLow,7,18115.0996,18100.0,18250.0,18350.0,33.61,-5.33,HARD,False
2023-01-23,2023-01-23 09:55:00+05:30,LONG,HigherLow,4,18154.9004,18150.0,18300.0,18400.0,34.78,-2.42,HARD,False
2023-02-07,2023-02-07 10:10:00+05:30,SHORT,LowerHigh,2,17750.8008,17650.0,17500.0,17400.0,24.6,6.21,TRAIL,True
2023-02-22,2023-02-22 09:55:00+05:30,SHORT,LowerHigh,1,17677.3008,17550.0,17400.0,17300.0,17.99,13.77,TRAIL,True
2023-03-23,2023-03-23 09:55:00+05:30,LONG,HigherLow,0,17125.0996,17100.0,17250.0,17350.0,44.17,9.33,TRAIL,False
2023-04-05,2023-04-05 09:55:00+05:30,LONG,HigherLow,1,17473.1992,17450.0,17600.0,17700.0,41.31,10.46,TRAIL,False
2023-04-11,2023-04-11 09:55:00+05:30,LONG,HigherLow,2,17726.5996,17700.0,17850.0,17950.0,39.5,1.84,HARD,False
2023-04-21,2023-04-21 09:55:00+05:30,SHORT,LowerHigh,6,17607.9492,17500.0,17350.0,17250.0,26.68,-0.95,HARD,True
2023-05-04,2023-05-04 10:05:00+05:30,LONG,HigherLow,0,18130.75,18100.0,18250.0,18350.0,45.68,91.12,TRAIL,False
2023-05-15,2023-05-15 10:00:00+05:30,LONG,HigherLow,3,18383.7,18350.0,18500.0,18600.0,38.2,2.13,HARD,False
2023-05-24,2023-05-24 09:55:00+05:30,LONG,HigherLow,1,18350.6,18350.0,18500.0,18600.0,37.37,-9.0,MTM_STP,False
2023-06-15,2023-06-15 09:55:00+05:30,LONG,HigherLow,0,18772.1,18750.0,18900.0,19000.0,43.12,-10.48,MTM_STP,False
2023-07-06,2023-07-06 10:50:00+05:30,LONG,HigherLow,0,19448.8,19400.0,19550.0,19650.0,50.81,3.89,TRAIL,False
2023-07-11,2023-07-11 09:55:00+05:30,LONG,HigherLow,2,19475.5,19450.0,19600.0,19700.0,38.41,-2.35,HARD,False
2023-07-13,2023-07-13 09:55:00+05:30,LONG,HigherLow,0,19543.4,19500.0,19650.0,19750.0,48.21,2.82,TRAIL,False
2023-07-14,2023-07-14 09:55:00+05:30,SHORT,LowerHigh,6,19454.1,19350.0,19200.0,19100.0,27.11,-8.19,MTM_STP,True
2023-07-26,2023-07-26 09:55:00+05:30,LONG,HigherLow,1,19796.15,19750.0,19900.0,20000.0,43.25,2.79,TRAIL,False
2023-08-02,2023-08-02 10:20:00+05:30,SHORT,LowerHigh,1,19604.75,19500.0,19350.0,19250.0,22.47,6.48,TRAIL,True
2023-08-16,2023-08-16 10:10:00+05:30,LONG,HigherLow,1,19377.95,19350.0,19500.0,19600.0,41.16,20.1,HARD,False
2023-08-23,2023-08-23 09:55:00+05:30,SHORT,LowerHigh,1,19383.3,19250.0,19100.0,19000.0,18.93,-8.93,MTM_STP,True
2023-09-18,2023-09-18 10:05:00+05:30,LONG,HigherLow,3,20183.4,20150.0,20300.0,20400.0,37.19,-3.95,HARD,False
2023-09-25,2023-09-25 10:10:00+05:30,SHORT,LowerHigh,3,19619.0,19500.0,19350.0,19250.0,24.92,-8.02,MTM_STP,True
2023-09-27,2023-09-27 10:05:00+05:30,SHORT,LowerHigh,1,19572.0,19450.0,19300.0,19200.0,20.37,-10.22,MTM_STP,True
2023-10-16,2023-10-16 09:55:00+05:30,LONG,HigherLow,3,19730.05,19700.0,19850.0,19950.0,37.12,0.68,HARD,False
2023-11-13,2023-11-13 10:00:00+05:30,LONG,HigherLow,3,19477.1,19450.0,19600.0,19700.0,37.03,-2.19,HARD,False
2023-11-28,2023-11-28 10:20:00+05:30,SHORT,LowerHigh,2,19808.05,19700.0,19550.0,19450.0,24.8,-8.31,MTM_STP,True
2023-12-01,2023-12-01 09:55:00+05:30,LONG,HigherLow,6,20254.45,20250.0,20400.0,20500.0,32.7,1.27,HARD,False
2023-12-08,2023-12-08 09:55:00+05:30,LONG,HigherLow,6,20991.7,20950.0,21100.0,21200.0,34.42,-0.33,HARD,False
2023-12-14,2023-12-14 09:55:00+05:30,LONG,HigherLow,0,21185.15,21150.0,21300.0,21400.0,45.46,-9.06,MTM_STP,False
2023-12-26,2023-12-26 10:00:00+05:30,LONG,HigherLow,2,21417.05,21400.0,21550.0,21650.0,36.72,5.26,HARD,False
2024-01-02,2024-01-02 09:55:00+05:30,SHORT,LowerHigh,2,21636.8,21500.0,21350.0,21250.0,22.96,-4.92,HARD,True
2024-01-11,2024-01-11 10:00:00+05:30,SHORT,LowerHigh,0,21664.3,21550.0,21400.0,21300.0,15.81,-8.78,MTM_STP,True
2024-01-12,2024-01-12 09:55:00+05:30,LONG,HigherLow,6,21754.85,21750.0,21900.0,22000.0,32.25,7.55,HARD,False
2024-01-23,2024-01-23 10:00:00+05:30,SHORT,LowerHigh,2,21652.0,21550.0,21400.0,21300.0,26.1,31.31,HARD,True
2024-02-08,2024-02-08 10:15:00+05:30,SHORT,LowerHigh,0,21908.95,21800.0,21650.0,21550.0,16.35,37.3,TRAIL,True
2024-02-16,2024-02-16 09:55:00+05:30,LONG,HigherLow,6,22006.15,22000.0,22150.0,22250.0,32.24,1.84,HARD,False
2024-02-20,2024-02-20 09:55:00+05:30,SHORT,LowerHigh,2,22074.65,21950.0,21800.0,21700.0,24.21,-8.13,MTM_STP,True
2024-02-26,2024-02-26 09:55:00+05:30,SHORT,LowerHigh,3,22114.1,22000.0,21850.0,21750.0,25.97,-1.02,HARD,True
2024-03-05,2024-03-05 10:05:00+05:30,SHORT,LowerHigh,2,22326.4,22200.0,22050.0,21950.0,24.1,-3.79,HARD,True
2024-03-11,2024-03-11 10:00:00+05:30,SHORT,LowerHigh,3,22452.3,22350.0,22200.0,22100.0,26.88,4.09,TRAIL,True
2024-03-19,2024-03-19 09:55:00+05:30,SHORT,LowerHigh,2,21901.85,21800.0,21650.0,21550.0,26.19,3.93,TRAIL,True
