n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,hard,side,first_only,dte_min,n_tgt,n_stp,n_hard,n_trail,pass
127,56.7,1.65,242.8,1.91,5.17,77,53.2,3.66,50,62.0,8.04,quiet_or4070,fly_side_12_8_6_8,1515,BOTH,False,0,48,30,49,0,True
127,54.3,2.01,166.0,1.31,4.88,77,54.5,5.58,50,54.0,3.77,quiet_or4070,fly_spot_30_20,1430,BOTH,False,0,68,57,2,0,True
127,56.7,1.62,222.0,1.75,4.81,77,53.2,3.96,50,62.0,6.28,quiet_or4070,fly_side_12_8_6_8,1430,BOTH,False,0,46,28,53,0,True
188,55.3,1.64,160.8,0.86,4.79,111,55.9,5.17,77,54.5,4.22,quiet_h2_e1030,fly_spot_30_20,1515,BOTH,False,0,105,82,1,0,True
188,55.3,1.65,160.6,0.85,4.79,111,55.9,5.16,77,54.5,4.22,quiet_h2_e1030,fly_spot_30_20,1430,BOTH,False,0,105,81,2,0,True
127,53.5,1.97,159.6,1.26,4.71,77,53.2,5.3,50,54.0,3.77,quiet_or4070,fly_spot_30_20,1515,BOTH,False,0,69,58,0,0,True
127,53.5,1.63,261.0,2.05,4.66,77,49.4,3.06,50,60.0,7.8,quiet_or4070,fly_side_16_10_8_8,1515,BOTH,False,0,38,32,57,0,True
127,53.5,1.65,253.4,2.0,4.66,77,49.4,3.57,50,60.0,6.63,quiet_or4070,fly_side_16_10_8_8,1430,BOTH,False,0,37,28,62,0,True
127,52.8,1.65,287.3,2.26,4.66,77,49.4,3.67,50,58.0,6.68,quiet_or4070,fly_side_20_10_8_10,1515,BOTH,False,0,34,28,65,0,True
127,52.8,1.66,270.2,2.13,4.66,77,49.4,4.09,50,58.0,5.98,quiet_or4070,fly_side_20_10_8_10,1430,BOTH,False,0,30,23,74,0,True
152,56.6,2.03,186.1,1.22,4.58,93,51.6,3.75,59,64.4,6.98,quiet_mid,fly_spot_30_20,1430,BOTH,False,0,85,66,1,0,True
205,54.1,1.55,151.3,0.74,4.5,121,55.4,4.97,84,52.4,3.79,quiet_h2,fly_spot_30_20,1515,BOTH,False,0,112,92,1,0,True
188,52.1,1.64,330.7,1.76,4.48,111,55.0,5.66,77,48.1,2.58,quiet_h2_e1030,fly_trail_6_5,1430,BOTH,False,0,0,68,72,48,True
205,54.1,1.55,150.2,0.73,4.46,121,55.4,4.92,84,52.4,3.79,quiet_h2,fly_spot_30_20,1430,BOTH,False,0,111,91,3,0,True
152,55.9,1.99,178.8,1.18,4.42,93,50.5,3.51,59,64.4,6.98,quiet_mid,fly_spot_30_20,1515,BOTH,False,0,85,67,0,0,True
171,57.9,1.56,223.3,1.31,4.37,104,58.7,5.36,67,56.7,3.28,quiet_e1100,fly_mtm_6_6,1430,BOTH,False,0,80,48,43,0,True
127,50.4,1.9,238.9,1.88,4.35,77,53.2,5.71,50,46.0,2.07,quiet_or4070,fly_spot_50_25,1430,BOTH,False,0,57,60,10,0,True
188,51.6,1.5,273.3,1.45,4.34,111,53.2,5.43,77,49.4,2.85,quiet_h2_e1030,fly_trail_6_3,1515,BOTH,False,0,0,72,42,74,True
127,50.4,1.6,241.8,1.9,4.33,77,45.5,2.88,50,58.0,7.22,quiet_or4070,fly_mtm_16_8,1430,BOTH,False,0,25,31,71,0,True
188,53.7,1.5,255.0,1.36,4.32,111,55.9,5.74,77,50.6,2.65,quiet_h2_e1030,fly_trail_6_3,1430,BOTH,False,0,0,68,56,64,True
171,55.0,1.63,273.1,1.6,4.29,104,54.8,5.1,67,55.2,3.41,quiet_e1100,fly_trail_6_3,1515,BOTH,False,0,0,54,46,71,True
127,53.5,1.57,226.9,1.79,4.26,77,49.4,2.97,50,60.0,6.54,quiet_or4070,fly_side_14_10_8_10,1430,BOTH,False,0,40,22,65,0,True
171,55.6,1.52,221.7,1.3,4.23,104,55.8,5.13,67,55.2,3.18,quiet_e1100,fly_mtm_6_6,1515,BOTH,False,0,85,54,32,0,True
127,55.1,1.55,193.9,1.53,4.22,77,53.2,3.63,50,58.0,5.06,quiet_or4070,fly_side_10_8_6_6,1515,BOTH,False,0,50,39,38,0,True
171,55.0,1.56,237.3,1.39,4.18,104,55.8,5.1,67,53.7,3.17,quiet_e1100,fly_mtm_8_6,1430,BOTH,False,0,62,51,58,0,True
205,52.2,1.55,312.9,1.53,4.18,121,55.4,5.24,84,47.6,2.45,quiet_h2,fly_trail_6_5,1430,BOTH,False,0,0,74,82,49,True
171,55.6,1.74,304.4,1.78,4.16,104,57.7,4.76,67,52.2,3.28,quiet_e1100,fly_trail_6_5,1430,BOTH,False,0,0,48,79,44,True
127,53.5,1.53,226.0,1.78,4.11,77,49.4,2.47,50,60.0,7.25,quiet_or4070,fly_side_14_10_8_10,1515,BOTH,False,0,41,27,59,0,True
205,51.2,1.45,262.8,1.28,4.08,121,52.9,4.99,84,48.8,2.82,quiet_h2,fly_trail_6_3,1515,BOTH,False,0,0,78,51,76,True
127,55.9,1.73,226.5,1.78,4.06,77,54.5,3.58,50,58.0,4.72,quiet_or4070,fly_trail_6_5,1430,BOTH,False,0,0,35,59,33,True
205,53.7,1.43,239.2,1.17,4.01,121,56.2,5.29,84,50.0,2.51,quiet_h2,fly_trail_6_3,1430,BOTH,False,0,0,74,66,65,True
127,52.0,1.58,258.7,2.04,4.01,77,48.1,3.59,50,58.0,4.89,quiet_or4070,fly_side_25_12_10_10,1430,BOTH,False,0,23,21,83,0,True
127,55.9,1.53,181.1,1.43,3.98,77,53.2,3.6,50,60.0,4.49,quiet_or4070,fly_side_10_8_6_6,1430,BOTH,False,0,45,34,48,0,True
171,57.3,1.59,238.7,1.4,3.97,104,57.7,4.79,67,56.7,3.22,quiet_e1100,fly_trail_6_3,1430,BOTH,False,0,0,48,62,61,True
171,52.6,1.85,372.2,2.18,3.97,104,54.8,4.49,67,49.3,3.01,quiet_e1100,fly_trail_6_5,1515,BOTH,False,0,0,54,60,57,True
152,55.3,1.79,291.0,1.91,3.93,93,58.1,4.67,59,50.8,2.79,quiet_mid,fly_trail_6_5,1430,BOTH,False,0,0,42,72,38,True
187,52.9,1.7,173.3,0.93,3.91,112,50.9,4.2,75,56.0,3.42,quiet,fly_spot_30_20,1430,BOTH,False,0,96,89,2,0,True
171,53.8,1.73,162.1,0.95,3.87,104,51.9,4.34,67,56.7,3.06,quiet_e1100,fly_spot_30_20,1430,BOTH,False,0,89,81,1,0,True
171,53.8,1.51,262.9,1.54,3.83,104,53.8,3.94,67,53.7,3.74,quiet_e1100,fly_trail_8_3,1515,BOTH,False,0,0,44,67,60,True
171,52.0,1.49,225.9,1.32,3.83,104,52.9,4.86,67,50.7,2.67,quiet_e1100,fly_mtm_8_6,1515,BOTH,False,0,70,58,43,0,True
171,59.1,1.44,197.6,1.16,3.8,104,59.6,4.22,67,58.2,3.24,quiet_e1100,fly_mtm_6_8,1430,BOTH,False,0,82,39,50,0,True
171,57.9,1.43,202.9,1.19,3.8,104,57.7,3.94,67,58.2,3.58,quiet_e1100,fly_mtm_6_8,1515,BOTH,False,0,87,41,43,0,True
127,54.3,1.85,276.3,2.18,3.8,77,53.2,3.35,50,56.0,4.9,quiet_or4070,fly_trail_6_5,1515,BOTH,False,0,0,40,47,40,True
152,53.9,1.55,213.4,1.4,3.8,93,54.8,4.3,59,52.5,3.18,quiet_mid,fly_mtm_8_6,1430,BOTH,False,0,57,45,50,0,True
187,52.4,1.68,167.0,0.89,3.78,112,50.0,3.99,75,56.0,3.42,quiet,fly_spot_30_20,1515,BOTH,False,0,97,90,0,0,True
127,54.3,1.59,213.8,1.68,3.77,77,50.6,2.27,50,60.0,6.41,quiet_or4070,fly_trail_8_5,1430,BOTH,False,0,0,26,72,29,True
127,59.1,1.43,140.9,1.11,3.75,77,57.1,2.95,50,62.0,4.94,quiet_or4070,fly_mtm_6_8,1430,BOTH,False,0,59,25,43,0,True
152,53.3,1.89,354.7,2.33,3.75,93,57.0,4.38,59,47.5,2.55,quiet_mid,fly_trail_6_5,1515,BOTH,False,0,0,50,53,49,True
127,59.1,1.43,145.3,1.14,3.74,77,57.1,2.62,50,62.0,5.55,quiet_or4070,fly_mtm_6_8,1515,BOTH,False,0,61,27,39,0,True
127,50.4,1.5,215.8,1.7,3.74,77,45.5,2.21,50,58.0,6.93,quiet_or4070,fly_mtm_16_10,1430,BOTH,False,0,25,24,78,0,True
171,53.2,1.7,154.8,0.91,3.71,104,51.0,4.08,67,56.7,3.06,quiet_e1100,fly_spot_30_20,1515,BOTH,False,0,89,82,0,0,True
187,54.0,1.5,245.2,1.31,3.7,112,54.5,4.83,75,53.3,2.5,quiet,fly_trail_6_3,1515,BOTH,False,0,0,62,50,75,True
152,55.3,1.6,239.2,1.57,3.69,93,57.0,4.46,59,52.5,2.81,quiet_mid,fly_trail_6_3,1515,BOTH,False,0,0,50,38,64,True
332,53.9,1.41,387.7,1.17,3.69,161,55.3,3.49,171,52.6,3.87,or29_quiet_h2,fly_trail_6_3,1515,BOTH,False,0,0,123,90,119,True
171,52.0,1.45,266.1,1.56,3.69,104,51.0,3.43,67,53.7,4.07,quiet_e1100,fly_side_16_10_8_8,1515,BOTH,False,0,52,48,71,0,True
187,51.9,1.7,349.5,1.87,3.64,112,54.5,4.43,75,48.0,2.17,quiet,fly_trail_6_5,1515,BOTH,False,0,0,62,66,59,True
127,50.4,1.48,195.6,1.54,3.64,77,45.5,2.36,50,58.0,6.17,quiet_or4070,fly_mtm_14_8,1430,BOTH,False,0,28,31,68,0,True
152,56.6,1.6,220.6,1.45,3.62,93,58.1,4.29,59,54.2,2.91,quiet_mid,fly_trail_6_3,1430,BOTH,False,0,0,42,55,55,True
127,54.3,1.48,171.8,1.35,3.6,77,50.6,1.74,50,60.0,6.17,quiet_or4070,fly_trail_8_3,1430,BOTH,False,0,0,26,61,40,True
332,53.0,1.51,460.6,1.39,3.6,161,54.7,3.86,171,51.5,3.34,or29_quiet_h2,fly_trail_6_5,1430,BOTH,False,0,0,113,137,82,True
152,52.6,1.5,210.9,1.39,3.6,93,53.8,4.38,59,50.8,2.66,quiet_mid,fly_mtm_8_6,1515,BOTH,False,0,66,54,32,0,True
127,57.5,1.46,140.3,1.11,3.59,77,55.8,3.53,50,60.0,3.65,quiet_or4070,fly_mtm_6_6,1430,BOTH,False,0,57,35,35,0,True
152,56.6,1.5,184.8,1.22,3.59,93,58.1,4.31,59,54.2,2.75,quiet_mid,fly_mtm_6_6,1430,BOTH,False,0,71,42,39,0,True
127,55.1,1.52,168.2,1.32,3.59,77,53.2,3.08,50,58.0,4.22,quiet_or4070,fly_trail_6_3,1515,BOTH,False,0,0,40,37,50,True
171,50.3,1.66,298.4,1.75,3.59,104,52.9,4.78,67,46.3,1.76,quiet_e1100,fly_trail_6_8,1430,BOTH,False,0,0,48,87,36,True
332,54.5,1.41,363.7,1.1,3.58,161,55.9,3.77,171,53.2,3.41,or29_quiet_h2,fly_trail_6_3,1430,BOTH,False,0,0,113,116,103,True
171,56.1,1.43,205.4,1.2,3.57,104,56.7,4.04,67,55.2,3.0,quiet_e1100,fly_mtm_8_8,1430,BOTH,False,0,64,41,66,0,True
127,54.3,1.69,263.1,2.07,3.56,77,50.6,2.25,50,60.0,7.05,quiet_or4070,fly_trail_8_5,1515,BOTH,False,0,0,30,61,36,True
127,50.4,1.5,251.2,1.98,3.56,77,46.8,2.52,50,56.0,5.6,quiet_or4070,fly_side_25_12_10_10,1515,BOTH,False,0,25,29,73,0,True
171,50.3,1.52,291.0,1.7,3.56,104,49.0,3.35,67,52.2,3.85,quiet_e1100,fly_mtm_16_8,1430,BOTH,False,0,29,49,93,0,True
127,56.7,1.52,162.7,1.28,3.55,77,54.5,3.24,50,60.0,3.95,quiet_or4070,fly_trail_6_3,1430,BOTH,False,0,0,35,47,45,True
127,54.3,1.46,176.0,1.39,3.55,77,50.6,1.28,50,60.0,6.96,quiet_or4070,fly_trail_8_3,1515,BOTH,False,0,0,30,53,44,True
187,54.0,1.57,270.7,1.45,3.55,112,56.2,4.39,75,50.7,2.37,quiet,fly_trail_6_5,1430,BOTH,False,0,0,56,85,46,True
187,54.5,1.41,197.6,1.06,3.54,112,55.4,4.74,75,53.3,2.26,quiet,fly_mtm_6_6,1515,BOTH,False,0,89,62,36,0,True
171,55.0,1.54,266.8,1.56,3.52,104,55.8,3.53,67,53.7,3.48,quiet_e1100,fly_trail_8_5,1430,BOTH,False,0,0,41,91,39,True
127,55.1,1.42,148.6,1.17,3.51,77,51.9,2.12,50,60.0,5.74,quiet_or4070,fly_mtm_8_8,1430,BOTH,False,0,48,26,53,0,True
154,52.6,1.64,258.3,1.68,3.5,93,54.8,4.33,61,49.2,2.34,quiet_e1030,fly_trail_6_5,1430,BOTH,False,0,0,47,67,40,True
171,55.6,1.46,225.0,1.32,3.49,104,55.8,3.41,67,55.2,3.64,quiet_e1100,fly_trail_8_3,1430,BOTH,False,0,0,41,77,53,True
187,56.1,1.41,190.8,1.02,3.48,112,57.1,4.69,75,54.7,2.27,quiet,fly_mtm_6_6,1430,BOTH,False,0,84,56,47,0,True
127,55.9,1.43,138.1,1.09,3.47,77,54.5,3.35,50,58.0,3.6,quiet_or4070,fly_mtm_6_6,1515,BOTH,False,0,59,40,28,0,True
154,54.5,1.62,130.8,0.85,3.46,93,51.6,3.65,61,59.0,3.15,quiet_e1030,fly_spot_30_20,1430,BOTH,False,0,82,71,1,0,True
171,52.6,1.63,330.1,1.93,3.44,104,53.8,3.57,67,50.7,3.22,quiet_e1100,fly_trail_8_5,1515,BOTH,False,0,0,44,78,49,True
171,53.8,1.43,239.1,1.4,3.43,104,52.9,3.32,67,55.2,3.57,quiet_e1100,fly_side_16_10_8_8,1430,BOTH,False,0,46,44,81,0,True
152,52.6,1.51,263.7,1.73,3.43,93,52.7,3.72,59,52.5,3.0,quiet_mid,fly_side_16_10_8_8,1515,BOTH,False,0,49,42,61,0,True
127,53.5,1.46,150.2,1.18,3.42,77,50.6,2.65,50,58.0,4.45,quiet_or4070,fly_mtm_8_6,1430,BOTH,False,0,46,38,43,0,True
171,53.2,1.41,223.9,1.31,3.42,104,52.9,3.56,67,53.7,3.19,quiet_e1100,fly_side_12_8_6_8,1515,BOTH,False,0,62,48,61,0,True
171,51.5,1.44,278.3,1.63,3.42,104,51.0,3.74,67,52.2,2.91,quiet_e1100,fly_side_20_10_8_10,1515,BOTH,False,0,48,44,79,0,True
154,52.6,1.53,219.9,1.43,3.41,93,52.7,4.31,61,52.5,2.43,quiet_e1030,fly_trail_6_3,1515,BOTH,False,0,0,52,38,64,True
127,56.7,1.49,219.2,1.73,3.4,77,54.5,2.71,50,60.0,4.65,quiet_or4070,fly_frac_0.4_0.5,1430,BOTH,False,0,36,19,72,0,True
152,55.3,1.46,182.2,1.2,3.39,93,57.0,4.43,59,52.5,2.17,quiet_mid,fly_mtm_6_6,1515,BOTH,False,0,76,50,26,0,True
171,54.4,1.39,201.8,1.18,3.39,104,54.8,3.78,67,53.7,2.9,quiet_e1100,fly_mtm_8_8,1515,BOTH,False,0,72,44,55,0,True
171,50.3,1.51,319.1,1.87,3.37,104,49.0,3.45,67,52.2,3.22,quiet_e1100,fly_mtm_25_10,1430,BOTH,False,0,17,40,114,0,True
152,54.6,1.53,245.0,1.61,3.35,93,54.8,3.26,59,54.2,3.51,quiet_mid,fly_trail_8_3,1515,BOTH,False,0,0,39,57,56,True
127,55.1,1.39,147.4,1.16,3.34,77,51.9,1.63,50,60.0,6.33,quiet_or4070,fly_mtm_8_8,1515,BOTH,False,0,51,30,46,0,True
127,50.4,1.5,238.8,1.88,3.34,77,46.8,2.76,50,56.0,4.33,quiet_or4070,fly_mtm_25_12,1430,BOTH,False,0,13,20,94,0,True
152,53.3,1.71,328.9,2.16,3.31,93,54.8,3.39,59,50.8,3.19,quiet_mid,fly_trail_8_5,1515,BOTH,False,0,0,39,70,43,True
332,50.9,1.42,176.4,0.53,3.3,161,55.3,4.37,171,46.8,2.06,or29_quiet_h2,fly_spot_30_20,1515,BOTH,False,0,168,162,2,0,True
152,53.9,1.61,263.8,1.74,3.29,93,54.8,3.32,59,52.5,3.21,quiet_mid,fly_trail_8_5,1430,BOTH,False,0,0,35,83,34,True
154,55.2,1.43,169.3,1.1,3.28,93,55.9,4.36,61,54.1,2.11,quiet_e1030,fly_mtm_6_6,1430,BOTH,False,0,72,47,35,0,True
154,53.9,1.59,123.5,0.8,3.28,93,50.5,3.35,61,59.0,3.15,quiet_e1030,fly_spot_30_20,1515,BOTH,False,0,82,72,0,0,True
332,51.8,1.57,545.0,1.64,3.28,161,53.4,3.37,171,50.3,3.17,or29_quiet_h2,fly_trail_6_5,1515,BOTH,False,0,0,123,108,101,True
171,55.0,1.4,205.8,1.2,3.26,104,54.8,3.6,67,55.2,2.74,quiet_e1100,fly_side_12_8_6_8,1430,BOTH,False,0,56,46,69,0,True
152,52.6,1.49,240.7,1.58,3.25,93,52.7,3.59,59,52.5,2.74,quiet_mid,fly_side_16_10_8_8,1430,BOTH,False,0,42,37,73,0,True
127,52.0,1.42,145.9,1.15,3.25,77,49.4,2.48,50,56.0,4.31,quiet_or4070,fly_mtm_8_6,1515,BOTH,False,0,49,44,34,0,True
127,51.2,1.53,205.7,1.62,3.25,77,50.6,3.13,50,52.0,3.45,quiet_or4070,fly_trail_8_8,1430,BOTH,False,0,0,26,78,23,True
188,50.5,1.32,171.7,0.91,3.25,111,53.2,4.42,77,46.8,1.53,quiet_h2_e1030,fly_mtm_8_6,1430,BOTH,False,0,74,73,41,0,True
154,52.6,1.44,183.1,1.19,3.24,93,53.8,4.5,61,50.8,1.88,quiet_e1030,fly_mtm_8_6,1430,BOTH,False,0,57,50,47,0,True
187,55.6,1.43,202.3,1.08,3.2,112,56.2,4.27,75,54.7,2.22,quiet,fly_trail_6_3,1430,BOTH,False,0,0,56,66,65,True
171,52.0,1.52,270.7,1.58,3.18,104,54.8,3.98,67,47.8,1.89,quiet_e1100,fly_trail_8_8,1430,BOTH,False,0,0,41,97,33,True
