n,wr,pf,total,avg,sharpe,signals,vehicle,n_tgt,n_stp,n_hard,pass
387,92.0,37.04,772.4,2.0,28.66,lhhl,fly_mtm_2.0_4.0,313,0,74,True
387,92.0,37.04,772.4,2.0,28.66,lhhl,fly_mtm_2.0_6.0,313,0,74,True
387,92.0,37.04,772.4,2.0,28.66,lhhl,fly_mtm_2.0_8.0,313,0,74,True
387,92.0,37.04,772.4,2.0,28.66,lhhl,fly_mtm_2.0_12.0,313,0,74,True
187,92.0,34.15,372.6,1.99,28.33,lhhl_quiet,fly_mtm_2.0_4.0,148,0,39,True
187,92.0,34.15,372.6,1.99,28.33,lhhl_quiet,fly_mtm_2.0_6.0,148,0,39,True
187,92.0,34.15,372.6,1.99,28.33,lhhl_quiet,fly_mtm_2.0_8.0,148,0,39,True
187,92.0,34.15,372.6,1.99,28.33,lhhl_quiet,fly_mtm_2.0_12.0,148,0,39,True
285,93.7,43.64,573.9,2.01,28.21,lhhl_diraware,fly_mtm_2.0_4.0,230,0,55,True
285,93.7,43.64,573.9,2.01,28.21,lhhl_diraware,fly_mtm_2.0_6.0,230,0,55,True
285,93.7,43.64,573.9,2.01,28.21,lhhl_diraware,fly_mtm_2.0_8.0,230,0,55,True
285,93.7,43.64,573.9,2.01,28.21,lhhl_diraware,fly_mtm_2.0_12.0,230,0,55,True
187,90.9,43.3,533.5,2.85,22.78,lhhl_quiet,fly_mtm_4.0_4.0,104,0,83,True
187,90.9,43.3,533.5,2.85,22.78,lhhl_quiet,fly_mtm_4.0_6.0,104,0,83,True
187,90.9,43.3,533.5,2.85,22.78,lhhl_quiet,fly_mtm_4.0_8.0,104,0,83,True
187,90.9,43.3,533.5,2.85,22.78,lhhl_quiet,fly_mtm_4.0_12.0,104,0,83,True
387,89.1,40.5,1069.9,2.76,22.01,lhhl,fly_mtm_4.0_4.0,198,0,189,True
387,89.1,40.5,1069.9,2.76,22.01,lhhl,fly_mtm_4.0_6.0,198,0,189,True
387,89.1,40.5,1069.9,2.76,22.01,lhhl,fly_mtm_4.0_8.0,198,0,189,True
387,89.1,40.5,1069.9,2.76,22.01,lhhl,fly_mtm_4.0_12.0,198,0,189,True
285,90.5,45.71,804.2,2.82,21.58,lhhl_diraware,fly_mtm_4.0_4.0,153,0,132,True
285,90.5,45.71,804.2,2.82,21.58,lhhl_diraware,fly_mtm_4.0_6.0,153,0,132,True
285,90.5,45.71,804.2,2.82,21.58,lhhl_diraware,fly_mtm_4.0_8.0,153,0,132,True
285,90.5,45.71,804.2,2.82,21.58,lhhl_diraware,fly_mtm_4.0_12.0,153,0,132,True
187,90.9,52.87,654.3,3.5,20.03,lhhl_quiet,fly_mtm_6.0_4.0,69,0,118,True
187,90.9,52.87,654.3,3.5,20.03,lhhl_quiet,fly_mtm_6.0_6.0,69,0,118,True
187,90.9,52.87,654.3,3.5,20.03,lhhl_quiet,fly_mtm_6.0_8.0,69,0,118,True
187,90.9,52.87,654.3,3.5,20.03,lhhl_quiet,fly_mtm_6.0_12.0,69,0,118,True
387,89.1,48.64,1290.2,3.33,19.55,lhhl,fly_mtm_6.0_4.0,130,0,257,True
387,89.1,48.64,1290.2,3.33,19.55,lhhl,fly_mtm_6.0_6.0,130,0,257,True
387,89.1,48.64,1290.2,3.33,19.55,lhhl,fly_mtm_6.0_8.0,130,0,257,True
387,89.1,48.64,1290.2,3.33,19.55,lhhl,fly_mtm_6.0_12.0,130,0,257,True
285,90.5,54.7,965.9,3.39,18.86,lhhl_diraware,fly_mtm_6.0_4.0,97,0,188,True
285,90.5,54.7,965.9,3.39,18.86,lhhl_diraware,fly_mtm_6.0_6.0,97,0,188,True
285,90.5,54.7,965.9,3.39,18.86,lhhl_diraware,fly_mtm_6.0_8.0,97,0,188,True
285,90.5,54.7,965.9,3.39,18.86,lhhl_diraware,fly_mtm_6.0_12.0,97,0,188,True
187,90.9,59.65,739.8,3.96,18.09,lhhl_quiet,fly_mtm_8.0_4.0,50,0,137,True
187,90.9,59.65,739.8,3.96,18.09,lhhl_quiet,fly_mtm_8.0_6.0,50,0,137,True
187,90.9,59.65,739.8,3.96,18.09,lhhl_quiet,fly_mtm_8.0_8.0,50,0,137,True
187,90.9,59.65,739.8,3.96,18.09,lhhl_quiet,fly_mtm_8.0_12.0,50,0,137,True
387,89.1,54.14,1439.1,3.72,17.76,lhhl,fly_mtm_8.0_4.0,93,0,294,True
387,89.1,54.14,1439.1,3.72,17.76,lhhl,fly_mtm_8.0_6.0,93,0,294,True
387,89.1,54.14,1439.1,3.72,17.76,lhhl,fly_mtm_8.0_8.0,93,0,294,True
387,89.1,54.14,1439.1,3.72,17.76,lhhl,fly_mtm_8.0_12.0,93,0,294,True
285,90.5,61.19,1082.7,3.8,17.04,lhhl_diraware,fly_mtm_8.0_4.0,72,0,213,True
285,90.5,61.19,1082.7,3.8,17.04,lhhl_diraware,fly_mtm_8.0_6.0,72,0,213,True
285,90.5,61.19,1082.7,3.8,17.04,lhhl_diraware,fly_mtm_8.0_8.0,72,0,213,True
285,90.5,61.19,1082.7,3.8,17.04,lhhl_diraware,fly_mtm_8.0_12.0,72,0,213,True
285,50.5,4.38,3570.2,12.53,12.07,lhhl_diraware,spread_50_15_t40,142,141,2,True
187,77.0,7.03,293.8,1.57,8.57,lhhl_quiet,fly_spot50,85,100,2,True
387,74.4,5.37,509.1,1.32,8.55,lhhl,fly_spot50,157,223,7,True
