label,n,wr,avg,total,pf,sharpe,inr,n_h1,wr_h1,avg_h1,sh_h1,n_h2,wr_h2,avg_h2,sh_h2
baseline_same_day,389,49.1,0.84,325.1,1.37,2.5,54.0,252,48.4,0.91,2.77,137,50.4,0.7,2.01
mix_CE_exp_PE_1515,389,49.1,0.86,336.0,1.38,2.53,56.0,252,48.4,0.94,2.78,137,50.4,0.72,2.08
both_hold_expiry,389,49.1,0.87,338.3,1.38,2.55,57.0,252,48.4,0.95,2.8,137,50.4,0.72,2.08
control_PE_exp_CE_1515,389,49.1,0.84,327.4,1.38,2.51,55.0,252,48.4,0.92,2.8,137,50.4,0.7,2.01
baseline_CE,198,47.5,0.46,91.1,1.19,1.06,30.0,132,46.2,0.44,1.0,66,50.0,0.5,1.18
baseline_PE,191,50.8,1.23,234.0,1.59,2.86,80.0,120,50.8,1.43,3.34,71,50.7,0.88,2.04
mix_CE_only,198,47.5,0.52,102.0,1.21,1.15,33.0,132,46.2,0.5,1.07,66,50.0,0.55,1.3
mix_PE_only,191,50.8,1.23,234.0,1.59,2.86,80.0,120,50.8,1.43,3.34,71,50.7,0.88,2.04
expiry_CE,198,47.5,0.52,102.0,1.21,1.15,33.0,132,46.2,0.5,1.07,66,50.0,0.55,1.3
expiry_PE,191,50.8,1.24,236.3,1.6,2.89,80.0,120,50.8,1.45,3.39,71,50.7,0.88,2.04
