label,n,wr,avg,total,pf,sharpe,inr,n_h1,wr_h1,avg_h1,sh_h1,n_h2,wr_h2,avg_h2,sh_h2
baseline_same_day,389,48.8,14.44,5616.4,4.78,14.5,938.0,252,48.0,13.72,14.38,137,50.4,15.76,14.83
mix_CE_exp_PE_1515,389,49.1,14.78,5750.8,4.87,14.92,961.0,252,48.4,14.12,14.88,137,50.4,16.0,15.1
both_hold_expiry,389,49.1,14.84,5772.8,4.89,14.97,965.0,252,48.4,14.21,14.97,137,50.4,16.0,15.1
control_PE_exp_CE_1515,389,48.8,14.49,5638.4,4.8,14.55,942.0,252,48.0,13.81,14.46,137,50.4,15.76,14.83
baseline_CE,198,47.0,13.26,2626.3,4.37,9.37,862.0,132,45.5,12.23,8.82,66,50.0,15.34,10.4
baseline_PE,191,50.8,15.66,2990.1,5.24,10.78,1018.0,120,50.8,15.36,10.71,71,50.7,16.15,10.85
mix_CE_only,198,47.5,13.94,2760.7,4.54,9.73,906.0,132,46.2,13.0,9.25,66,50.0,15.83,10.63
mix_PE_only,191,50.8,15.66,2990.1,5.24,10.78,1018.0,120,50.8,15.36,10.71,71,50.7,16.15,10.85
expiry_CE,198,47.5,13.94,2760.7,4.54,9.73,906.0,132,46.2,13.0,9.25,66,50.0,15.83,10.63
expiry_PE,191,50.8,15.77,3012.1,5.27,10.83,1025.0,120,50.8,15.55,10.77,71,50.7,16.15,10.85
